FROM,TO,TIMING
 LOHEGAON,MANAPA,5.25AM 5.45AM 6.05AM 6.25AM 6.45AM 7.05AM 7.15AM 7.25AM 7.35AM 7.45AM 7.55AM 8.05AM 8.15AM 8.25AM 8.35AM 8.45AM 8.55AM 9.05AM 9.15AM 9.25AM 9.35AM 9.45AM 9.55AM 10.05AM 10.15AM 10.25AM 10.40AM 10.55AM 11.15AM 11.35AM 11.55AM 12.05PM 12.15PM 12.25PM 12.35PM 12.45PM 12.55PM 1.10PM 1.25PM 1.35PM 1.55PM 2.15PM 2.30PM 2.45PM 3.05PM 3.25PM 3.45PM 3.55PM 4.05PM 4.15PM 4.25PM 4.35PM 4.45PM 4.55PM 5.05PM 5.15PM 5.25PM 5.35PM 5.45PM 5.55PM 6.05PM 6.15PM 6.25PM 6.35PM 6.45PM 6.55PM 7.05PM 7.15PM 7.25PM 7.45PM 8.15PM 8.35PM 8.55PM 9.05PM 9.15PM 9.25PM 9.35PM 9.55PM 10.20PM
 MANAPA,LOHEGAON, 6.15AM 6.35AM 6.55AM 7.20AM 7.40AM 8.00AM 8.10AM 8.20AM 8.30AM 8.40AM 8.50AM 9.00AM 9.10AM 9.20AM 9.30AM 9.40AM 9.50AM 10.05AM 10.15AM 10.25AM 10.35AM 10.45AM 10.55AM 11.05AM 11.15AM 11.25AM 11.35AM 11.55AM 12.10PM 12.30PM 12.40PM 1.00PM 1.10PM 1.20PM 1.30PM 1.40PM 1.50PM 2.05PM 2.20PM 2.35PM 2.50PM 3.10PM 3.20PM 3.40PM 4.00PM 4.20PM 4.35PM 4.50PM 5.00PM 5.10PM 5.20PM 5.30PM 5.40PM 5.50PM 6.00PM 6.10PM 6.20PM 6.30PM 6.40PM 6.50PM 7.05PM 7.15PM 7.25PM 7.35PM 7.45PM 7.55PM 8.05PM 8.15PM 8.25PM 8.45PM 9.10PM 9.30PM 9.50PM 10.00PM 10.10PM 10.20PM 10.30PM 10.50PM 11.15PM
 MANAPA,DY PATIL COLLEGE, 7.10AM 9.05AM 11.45AM 4.10PM 6.35PM 8.55PM
 DY PATIL COLLEGE,MANAPA, 8.10AM 10.30AM 1.40PM 5.25PM 7.45PM 10.30PM
 DADACHI PADAL,MANAPA ,6.35AM 8.45AM 11.20PM 2.00PM 4.00PM 6.20PM
 MANAPA, DADACHI PADAL,7.30AM 10.00AM 12.20PM 3.05PM 5.05PM 8.10PM
 MANAPA,LOHEGAON (MAHILA), 7.30AM 9.40AM 11.40AM 4.15PM 6.05PM
 LOHEGAON,MANAPA (MAHILA), 8.35AM 10.40AM 12.40PM 5.10PM 7.00PM
 MANAPA,TALEGAON DHAMDHERE, 5.20AM 5.30AM 5.40AM 5.50AM 6.00AM 6.10AM 6.20AM 6.30AM 6.40AM 6.55AM 7.10AM 7.20AM 7.35AM 7.50AM 8.00AM 8.10AM 8.15AM 8.20AM 8.30AM 8.45AM 9.00AM 9.10AM 9.20AM 9.30AM 9.40AM 9.50AM 10.00AM 10.10AM 10.20AM 10.35AM 10.50AM 11.00AM 11.15AM 11.30AM 11.40AM 12.00PM 12.20PM 12.40PM 1.05PM 1.20PM 1.35PM 1.50PM 2.00PM 2.10PM 2.20PM 2.30PM 2.40PM 2.50PM 3.00PM 3.10PM 3.20PM 3.35PM 3.50PM 4.00PM 4.15PM 4.30PM 4.40PM 4.55PM 5.10PM 5.20PM 5.30PM 5.40PM 5.50PM 6.05PM 6.20PM 6.30PM 6.40PM 6.50PM 7.00PM 7.10PM 7.20PM 7.30PM 7.40PM 7.55PM 8.10PM 8.20PM 8.50PM 9.25PM 10.10PM
 TALEGAON DHAMDHERE,MANAPA, 6.00AM 6.20AM 6.40AM 7.00AM 7.10AM 7.20AM 7.30AM 7.40AM 7.50AM 8.00AM 8.10AM 8.25AM 8.40AM 8.50AM 9.05AM 9.20AM 9.40AM 10.00AM 10.20AM 10.40AM 11.00AM 11.15AM 11.30AM 11.40AM 11.50AM 12.00PM 12.10PM 12.20PM 12.30PM 12.40PM 12.50PM 1.05PM 1.20PM 1.30PM 1.45PM 2.00PM 2.10PM 2.30PM 2.40PM 2.55PM 3.10PM 3.25PM 3.40PM 3.55PM 4.10PM 4.20PM 4.30PM 4.40PM 4.50PM 5.00PM 5.10PM 5.20PM 5.30PM 5.45PM 6.00PM 6.10PM 6.25PM 6.40PM 6.50PM 7.05PM 7.20PM 7.40PM 8.00PM 8.10PM 8.30PM 8.45PM 9.00PM 9.10PM 9.20PM 9.30PM 9.40PM 9.50PM 10.00PM 10.10PM 10.20PM 10.35PM 10.50PM 11.00PM 11.30PM
 MANAPA,KOREGAON BHIMA, 5.10AM 5.40AM
 BHIMA KOREGAON,MANAPA, 6.30AM 7.00AM
 MANAPA,LONI DHAMANI, 6.10AM 12.55PM 2.55PM 6.45PM
 LONI DHAMANI,MANAPA, 9.20AM 11.20AM 3.45PM 5.45PM
 LONI DHAMANI,SHIKRAPUR ST STAND, 6.30AM 8.30AM
 SHIKRAPUR ST STAND,LONI DHAMANI, 7.40AM 9.40AM
 SHANIVARWADA,MANAJARI BK, 5.25AM 6.00AM 7.10AM 8.00AM 8.30AM 9.10AM 10.00AM 11.10AM 11.45AM 12.20PM 1.10PM 1.50PM 2.30PM 3.00PM 4.30PM 5.10PM 5.40PM 6.10PM 7.50PM 8.30PM
 MANJARI BK,SHANIVARWADA,6.35AM 7.15AM 8.35AM 9.20AM 9.50AM 10.30AM 11.20AM 12.20PM 1.05PM 1.40PM 2.30PM 3.10PM 3.50PM 4.20PM 5.55PM 6.35PM 7.05PM 7.30PM 9.05PM 9.50PM
 WAGHOLI,KAREGAON, 5.15AM 6.00AM 6.40AM 7.15AM 7.50AM 8.25AM 8.55AM 9.35AM 10.15AM 10.55AM 11.30AM 12.05PM 12.45PM 1.25PM 2.00PM 2.40PM 3.20PM 3.55PM 4.35PM 5.15PM 5.50PM 6.25PM 7.00PM 7.35PM 8.10PM 8.45PM
 KAREGAON,WAGHOLI, 6.50AM 7.30AM 8.10AM 8.50AM 9.25AM 10.00AM 10.30AM 11.10AM 11.50AM 12.30PM 1.05PM 1.40PM 2.20PM 3.00PM 3.35PM 4.15PM 4.50PM 5.30PM 6.10PM 6.50PM 7.25PM 8.00PM 8.35PM 9.10PM 9.45PM 10.15PM
 WAGHOLI,SHIRUR, 5.40AM 6.20AM 2.20PM 3.00PM
 SHIRUR,WAGHOLI,10.50AM 11.40AM 7.50PM 8.30PM
 SHIRUR,KAREGAON, 7.40AM 8.20AM 9.00AM 9.40AM 4.20PM 5.00PM 5.50PM 6.30PM
 KAREGAON,SHIRUR, 8.20AM 9.00AM 9.40AM 10.30AM 5.05PM 5.45PM 6.35PM 7.15PM
 MANAPA,KENDURGAON, 9.15AM 2.15PM 7.15PM
 KENDURGAON,MANAPA, 6.25AM 11.30AM 4.30PM
 STATION,DHOLE PATIL COLLEGE,5.05AM 5.30AM 5.50AM 6.15AM 6.35AM 7.00AM 7.20AM 7.40AM 8.00AM 8.25AM 8.45AM 9.10AM 9.35AM 10.00AM 10.20AM 10.45AM 11.05AM 11.30AM 12.20PM 12.45PM 1.05PM 1.30PM 1.55PM 2.15PM 3.15PM 3.40PM 4.00PM 4.25PM 4.45PM 5.10PM 5.35PM 6.00PM 6.20PM 6.45PM 7.10PM 7.35PM 8.25PM 8.50PM 9.15PM 9.35PM 10.00PM 10.30PM
 DHOLE PATIL COLLEGE,STATION, 6.05AM 6.30AM 6.50AM 7.15AM 7.35AM 8.00AM 8.25AM 8.50AM 9.10AM 9.35AM 9.55AM 10.20AM 10.45AM 11.10AM 11.30AM 11.55AM 12.15PM 12.40PM 1.25PM 1.50PM 2.10PM 2.35PM 3.00PM 3.25PM 4.25PM 4.50PM 5.10PM 5.35PM 5.55PM 6.20PM 6.45PM 7.10PM 7.30PM 7.55PM 8.20PM 8.45PM 9.35PM 10.00PM 10.20PM 10.45PM 11.10PM 11.35PM
 MANAPA,NHAVARE, 5.30AM 8.00AM 1.45PM 5.00PM 6.35PM
NHAVARE,MANAPA, 10.15AM 11.00AM 1.00PM 7.00PM 7.45PM
 NHAVARE,SHIKRAPUR ST STAND, 7.00AM 8.00AM 10.30AM 4.45PM
 SHIKRAPUR ST STAND,NHAVARE, 9.00AM 9.45AM 12.00PM 5.45PM
 MANAPA,WAGHOLI, 3.15PM
 WAGHOLI,MANAPA, 4.15PM
 MANAPA,VADGAON SHERI,5.15AM 5.30AM 5.45AM 6.00AM 6.15AM 6.30AM 6.45AM 6.55AM 7.05AM 7.25AM 7.50AM 8.05AM 8.15AM 8.25AM 8.35AM 8.45AM 9.00AM 9.15AM 9.25AM 9.40AM 9.50AM 10.05AM 10.15AM 10.25AM 10.35AM 10.45AM 11.00AM 11.15AM 11.25AM 11.40AM 11.50AM 12.05PM 12.15PM 12.30PM 12.45PM 1.05PM 1.20PM 1.40PM 2.00PM 2.20PM 2.40PM 2.55PM 3.10PM 3.25PM 3.40PM 3.50PM 4.00PM 4.10PM 4.20PM 4.30PM 4.40PM 4.55PM 5.10PM 5.25PM 5.40PM 5.50PM 6.00PM 6.10PM 6.20PM 6.30PM 6.40PM 6.55PM 7.10PM 7.25PM 7.40PM 7.50PM 8.00PM 8.20PM 8.40PM 8.55PM 9.10PM 9.30PM 9.50PM 10.10PM
 VADGAON SHERI,MANAPA, 6.10AM 6.25AM 6.45AM 7.00AM 7.15AM 7.30AM 7.40AM 7.50AM 8.00AM 8.25AM 8.50AM 9.05AM 9.15AM 9.25AM 9.35AM 9.45AM 10.00AM 10.15AM 10.25AM 10.40AM 10.50AM 11.05AM 11.15AM 11.25AM 11.45AM 12.05PM 12.15PM 12.30PM 12.40PM 1.00PM 1.10PM 1.25PM 1.45PM 2.00PM 2.10PM 2.30PM 2.50PM 3.00PM 3.10PM 3.20PM 3.40PM 3.55PM 4.10PM 4.25PM 4.40PM 4.50PM 5.00PM 5.10PM 5.20PM 5.30PM 5.40PM 5.55PM 6.10PM 6.25PM 6.40PM 6.50PM 7.00PM 7.10PM 7.20PM 7.30PM 7.40PM 7.55PM 8.10PM 8.30PM 8.50PM 9.10PM 9.30PM 9.50PM 10.10PM 10.25PM 10.40PM 10.55PM 11.10PM 11.25PM
 STATION,VIMAN NAGAR,6.00AM 6.15AM 6.25AM 6.40AM 7.05AM 7.25AM 7.45AM 7.55AM 8.15AM 8.30AM 9.05AM 9.25AM 9.40AM 9.50AM 10.10AM 10.40AM 11.05AM 11.25AM 11.50AM 12.05PM 12.50PM 1.10PM 1.30PM 2.00PM 2.30PM 2.50PM 3.10PM 3.30PM 3.50PM 4.50PM 4.25PM 4.45PM 5.05PM 5.30PM 6.00PM 6.05PM 6.30PM 6.45PM 7.10PM 7.40PM 8.05PM 8.25PM 8.55PM 9.20PM 9.45PM 10.10PM 10.30PM
 VIMAN NAGAR,STATION, 6.35AM 6.55AM 7.00AM 7.25AM 7.45AM 8.10AM 8.30AM 8.50AM 9.05AM 9.25AM 9.50AM 10.15AM 10.30AM 10.40AM 11.00AM 11.30AM 11.55AM 12.15PM 12.35PM 1.00PM 1.30PM 1.50PM 2.15PM 2.45PM 3.15PM 3.35PM 3.55PM 4.15PM 4.35PM 4.55PM 5.15PM 5.35PM 5.55PM 6.20PM 6.50PM 7.05PM 7.20PM 7.35PM 8.00PM 8.30PM 8.55PM 9.15PM 9.40PM 10.05PM 10.25PM 10.50PM 11.10PM
 BHEKRAINAGAR,WAGHOLI, 4.40AM 5.00AM 5.20AM 5.30AM 5.40AM 5.50AM 6.00AM 6.10AM 6.20AM 6.30AM 6.40AM 6.50AM 7.00AM 7.10AM 7.15AM 7.20AM 7.30AM 7.40AM 7.50AM 8.00AM 8.10AM 8.20AM 8.30AM 8.40AM 8.50AM 9.00AM 9.10AM 9.20AM 9.30AM 9.40AM 9.50AM 10.00AM 10.10AM 10.30AM 10.50AM 11.00AM 11.10AM 11.20AM 11.30AM 11.40AM 11.50AM 12.00PM 12.10PM 12.20PM 12.30PM 12.40PM 12.50PM 1.00PM 1.10PM 1.20PM 1.40PM 2.00PM 2.20PM 2.40PM 2.50PM 3.00PM 3.10PM 3.20PM 3.30PM 3.40PM 3.50PM 4.00PM 4.10PM 4.20PM 4.30PM 4.35PM 4.40PM 4.50PM 5.00PM 5.10PM 5.20PM 5.30PM 5.40PM 5.50PM 6.00PM 6.10PM 6.20PM 6.30PM 6.40PM 6.50PM 7.00PM 7.10PM 7.20PM 7.30PM 7.50PM 8.10PM 8.20PM 8.30PM 8.40PM 8.50PM 9.00PM 9.10PM 9.20PM 9.30PM 9.40PM 9.50PM 10.00PM 10.10PM 10.20PM 10.30PM 10.40PM 11.00PM
 WAGHOLI,BHEKRAINAGAR, 10.00PM 10.10PM 10.20PM 10.30PM 10.40PM 11.00PM 6.00AM 6.20AM 6.40AM 6.50AM 7.00AM 7.10AM 7.20AM 7.30AM 7.40AM 7.50AM 8.00PM 8.10AM 8.20AM 8.30AM 8.35AM 8.40AM 8.50AM 9.00AM 9.10AM 9.20AM 9.30AM 9.40AM 9.50AM 10.00AM 10.10AM 10.20AM 10.30AM 10.40AM 10.50AM 11.00AM 11.10AM 11.20AM 11.30AM 11.50AM 12.10PM 12.20PM 12.30PM 12.40PM 12.50PM 1.00PM 1.10PM 1.20PM 1.30PM 1.40PM 1.50PM 2.00PM 2.10PM 2.20PM 2.30PM 2.40PM 3.00PM 3.20PM 3.40PM 4.00PM 4.10PM 4.20PM 4.30PM 4.40PM 4.50PM 5.00PM 5.10PM 5.20PM 5.30PM 5.40PM 5.50PM 5.55PM 6.00PM 6.10PM 6.20PM 6.30PM 6.40PM 6.50PM 7.00PM 7.10PM 7.20PM 7.30PM 7.40PM 7.50PM 8.00PM 8.10PM 8.20PM 8.30PM 8.40PM 8.50PM 9.10PM 9.30PM 9.40PM 9.50PM 10.00PM 10.10PM 10.20PM 10.30PM 10.40PM 10.50PM 11.00PM 11.10PM 11.20PM 11.30PM 11.40PM 11.50PM 12.00AM 12.20AM
 HADAPSAR,WAGHOLI (MAHILA), 8.05AM 10.05AM 12.05PM 4.45PM 6.45PM
 WAGHOLI,HADAPSAR (MAHILA), 9.05AM 11.10AM 1.05PM 5.45PM 7.45PM
 SHANIWARWADA,KESHAVNAGAR, 5.45AM 6.05AM 6.25AM 6.45AM 7.05AM 7.25AM 7.40AM 7.55AM 8.15AM 8.35AM 8.55AM 9.15AM 9.30AM 9.35AM 9.55AM 10.15AM 10.35AM 10.55AM 11.15AM 11.35AM 11.50AM 12.10PM 12.35PM 1.05PM 1.25PM 1.45PM 2.05PM 2.25PM 2.45PM 3.05PM 3.25PM 3.45PM 4.05PM 4.25PM 4.45PM 5.05PM 5.20PM 5.30PM 5.50PM 6.05PM 6.35PM 6.45PM 7.05PM 7.25PM 7.40PM 8.10PM 8.35PM 8.55PM 9.15PM 9.35PM 9.55PM 10.15PM 10.35PM
 KESHAVANAGAR,SHANIWARWADA, 6.45AM 7.05AM 7.25AM 7.45AM 8.05AM 8.25AM 8.45AM 9.05AM 9.25AM 9.45AM 10.05AM 10.25AM 10.35AM 10.40AM 11.05AM 11.25AM 11.45AM 12.05PM 12.25PM 12.45PM 1.05PM 1.20PM 1.45PM 2.15PM 2.35PM 2.55PM 3.15PM 3.35PM 3.50PM 4.15PM 4.35PM 4.55PM 5.15PM 5.35PM 5.55PM 6.15PM 6.30PM 6.35PM 7.00PM 7.15PM 7.30PM 7.55PM 8.15PM 8.35PM 8.55PM 9.15PM 9.45PM 10.05PM 10.25PM 10.45PM 11.05PM 11.35PM 11.55PM
 SHANIWARWADA,KESHAVNAGAR, 5.35AM 5.55AM 6.15AM 6.35AM 6.55AM 7.15AM 7.35AM 7.45AM 8.05AM 8.25AM 8.45AM 9.05AM 9.25AM 9.45AM 9.50AM 10.05AM 10.25AM 10.45AM 11.05AM 11.25AM 11.40AM 12.00PM 12.25PM 12.55PM 1.15PM 1.35PM 1.55PM 2.15PM 2.35PM 2.55PM 3.15PM 3.35PM 3.55PM 4.15PM 4.35PM 4.55PM 5.15PM 5.35PM 5.45PM 5.55PM 6.15PM 6.35PM 6.55PM 7.15PM 7.35PM 8.00PM 8.20PM 8.45PM 9.05PM 9.25PM 9.45PM 10.05PM 10.25PM
 KESHAVANAGAR,SHANIWARWADA, 6.35AM 6.55AM 7.15AM 7.35AM 7.55AM 8.15AM 8.35AM 8.55AM 9.15AM 9.35AM 9.55AM 10.15AM 10.30AM 10.50AM 11.00AM 11.15AM 11.35AM 11.55AM 12.15PM 12.35PM 12.50PM 1.10PM 1.35PM 2.05PM 2.25PM 2.45PM 3.05PM 3.25PM 3.40PM 4.00PM 4.25PM 4.45PM 5.05PM 5.25PM 5.45PM 6.05PM 6.25PM 6.45PM 6.55PM 7.10PM 7.25PM 7.45PM 8.05PM 8.25PM 8.45PM 9.20PM 9.35PM 9.55PM 10.15PM 10.35PM 10.55PM 11.15PM 11.35PM
 SHANIWARWADA,KESHAVNAGAR, 7.30AM 9.40AM 11.55AM 3.40PM 6.00PM
 KESHAVNAGAR,SHANIWARWADA, 8.30AM 10.45AM 1.00PM 4.50PM 7.05PM
 STATION,KONDHAVA VARTUL, 5.10AM 5.20AM 5.30AM 5.45AM 6.00AM 6.10AM 6.20AM 6.25AM 6.35AM 6.40AM 6.45AM 6.55AM 7.05AM 7.25AM 7.35AM 7.45AM 8.05AM 8.10AM 8.25AM 8.35AM 8.55AM 9.05AM 9.15AM 9.25AM 9.35AM 9.45AM 9.55AM 10.10AM 10.20AM 10.35AM 10.50AM 11.05AM 11.20AM 11.35AM 11.50AM 12.05PM 12.15PM 12.25PM 12.55PM 1.00PM 1.10PM 1.20PM 1.40PM 2.00PM 2.10PM 2.20PM 2.35PM 2.50PM 3.00PM 3.10PM 3.20PM 3.30PM 3.40PM 3.45PM 3.55PM 4.10PM 4.25PM 4.35PM 4.45PM 4.55PM 5.05PM 5.15PM 5.25PM 5.35PM 6.10PM 6.25PM 6.35PM 6.45PM 6.55PM 7.05PM 7.15PM 7.30PM 7.50PM 8.10PM 8.20PM 8.30PM 8.50PM 9.00PM 9.10PM 9.20PM 9.40PM 9.55PM 10.05PM 10.25PM 10.35PM
 PUNE STATION,DEFENCE COLONY, 7.55AM 8.15AM 5.55PM 6.15PM
 DEFENCE COLONY,PUNE STATION, 8.45AM 9.00AM 6.40PM 7.05PM
STATION,KONDHAVA BK, 5.35AM 7.10AM 8.40AM 10.30AM 12.50PM 3.50PM 5.45PM 7.40PM 10.15PM
 KONDHAVA BK,STATION, 6.20AM 7.55AM 9.25AM 11.25AM 1.45PM 4.45PM 6.40PM 8.40PM 11.00PM
 STATION,YEVALEWADI, 6.00AM 8.00AM 10.00AM 12.35PM 3.30PM 5.30PM 8.40PM
 YEVALEWADI,STATION, 7.00AM 9.00AM 11.05AM 1.40PM 4.30PM 6.40PM 9.45PM
 PUNE STATION,KONDHAVA KHURD VARTUL, 8.20AM 10.05AM 11.40AM 3.05PM 4.40PM 6.20PM 9.05AM 
 YEWALEWADI,PUNE STATION, 6.00AM 8.25AM 11.10AM 2.30PM 4.55PM 7.25PM
 PUNE STATION,YEWALEWADI, 7.10AM 9.40AM 12.25PM 3.40PM 6.10PM 9.10PM
 STATION,KONDHAVA GATE, 5.00AM 5.25AM 5.50AM 6.15AM 6.40AM 7.05AM 7.30AM 7.55AM 8.15AM 8.40AM 9.05AM 9.35AM 9.55AM 10.15AM 10.45AM 11.05AM 11.15AM 11.35AM 12.00PM 12.25PM 12.50PM 1.15PM 1.40PM 2.05PM 2.30PM 2.55PM 3.20PM 3.50PM 4.10PM 4.35PM 5.00PM 5.30PM 6.10PM 6.40PM 7.00PM 7.20PM 7.45PM 8.10PM 8.40PM 9.20PM
 KONDHAVA GATE,STATION, 6.15AM 6.40AM 7.05AM 7.30AM 7.55AM 8.20AM 8.45AM 9.10AM 9.40AM 10.05AM 10.30AM 10.55AM 11.20AM 11.40AM 12.10PM 12.35PM 12.45PM 1.05PM 1.30PM 1.55PM 2.20PM 2.45PM 3.10PM 3.35PM 4.00PM 4.25PM 4.50PM 5.15PM 5.35PM 6.05PM 6.30PM 7.00PM 7.40PM 8.15PM 8.40PM 9.05PM 9.30PM 9.55PM 10.20PM 10.45PM
 HADAPSAR,MANAPA, 6.05AM 7.50AM 10.30AM 2.50PM 5.00PM
 MANAPA,HADAPSAR, 6.50AM 8.50AM 11.20AM 3.50PM 6.10PM
 STATION,SALUNKHE VIHAR, 5.15AM 5.40AM 6.30AM 6.55AM 7.20AM 8.15AM 8.45AM 9.10AM 10.05AM 10.35AM 11.00AM 12.00PM 12.45PM 1.20PM 2.20PM 2.45PM 3.10PM 4.10PM 4.35PM 5.00PM 6.00PM 6.25PM 6.50PM 7.30PM 8.00PM 8.45PM 9.10PM 9.50PM
 SALUNKHE VIHAR,STATION, 6.00AM 6.25AM 7.20AM 7.50AM 8.15AM 9.10AM 9.40AM 10.05AM 11.00AM 11.30AM 11.55AM 12.50PM 1.40PM 2.15PM 3.15PM 3.40PM 4.05PM 5.05PM 5.30PM 5.55PM 6.55PM 7.20PM 7.45PM 8.25PM 8.50PM 9.40PM 10.05PM 10.45PM
 PUNE STATION,LODHA TOWERS MAHAMADWADI, 6.05AM 7.45AM 9.35AM 11.25AM 1.45PM 3.40PM 5.30PM
 LODHA TOWERS MAHAMADWADI,PUNE STATION, 6.50AM 8.40AM 10.30AM 12.20PM 2.40PM 4.35PM 6.30PM
 SWARGATE,SRP CAMP WANWADI, 7.45AM 9.15AM 10.45AM 3.30PM 5.00PM 6.30PM
 SRP CAMP WANWADI,SWARGATE, 8.30AM 10.00AM 11.30AM 4.15PM 5.45PM 7.15PM
 LOHEGAON,HADAPSAR, 6.30AM 9.10AM 2.45PM 5.30PM
 HADAPSAR,LOHEGAON, 7.50AM 10.30AM 4.05PM 7.00PM
 PUNE STATION,LOHEGAON, 5.50AM 2.00PM
 LOHEGAON,PUNE STATION,12.20PM 9.00PM
 BHEKRAINAGAR,NATAWADI ,6.00AM 6.40AM 7.20AM 7.40AM 8.00AM 8.20AM 8.40AM 9.00AM 9.30AM 9.50AM 10.10AM 10.30AM 10.50AM 11.15AM 12.20PM 12.40PM 1.20PM 1.40PM 2.00PM 2.35PM 3.00PM 3.20PM 3.45PM 4.10PM 4.35PM 5.00PM 5.25PM 5.50PM 6.15PM 6.40PM 7.10PM 8.00PM 8.50PM
 NATAWADI,BHEKRAINAGAR, 7.00AM 7.40AM 8.25AM 8.45AM 9.05AM 9.25AM 9.45AM 10.05AM 10.40AM 11.00AM 11.20AM 11.40AM 12.00PM 12.25PM 1.20PM 1.40PM 2.20PM 2.40PM 3.00PM 3.45PM 4.10PM 4.35PM 5.00PM 5.25PM 5.50PM 6.15PM 6.40PM 7.05PM 7.30PM 7.55PM 8.25PM 9.15PM 10.05PM
 NATAWADI,KONDHWA KHURD, 6.25AM 8.10AM 10.15AM 12.55PM 3.15PM 5.10PM 7.10PM 9.35PM
 KONDHWA KHURD,NATAWADI, 7.15AM 9.10AM 11.15AM 1.50PM 4.10PM 6.10PM 8.10PM 10.30PM
 NATAWADI,KONDHWA BK, 5.35AM 7.35AM 9.50AM 12.35PM 2.50PM 4.55PM 7.45PM
KONDHWA BK,NATAWADI, 6.35AM 8.45AM 11.00AM 1.40PM 3.50PM 6.05PM 8.55PM
SHEWALEWADI,SHIVAJI NAGAR NATAWADI, 8.40AM 11.20AM 5.05PM
 SHIVAJI NAGAR NATAWADI,SHEWALEWADI, 10.00AM 12.40PM 6.25PM
 HADAPSAR,KOLAWADI,5.25AM 6.05AM 7.00AM 7.45AM 8.40AM 9.35AM 11.05AM 12.05PM 1.30PM 2.25PM 3.20PM 4.15PM 5.45PM 6.45PM 7.55PM 8.55PM
 KOLAWADI,HADAPSAR, 6.10AM 7.00AM 7.50AM 8.45AM 9.40AM 10.35AM 12.00PM 12.55PM 2.25PM 3.20PM 4.20PM 5.20PM 6.50PM 7.50PM 8.50PM 9.45PM
 HADAPSAR,WAGHOLI, 5.40AM 2.45PM
 WAGHOLI ,HADAPSAR, 12.00PM 9.15PM
 WAGHOLI,THEUR PHATA, 7.00AM 8.30AM 10.00AM 4.00PM 5.30PM 7.00PM
 THEUR PHATA,WAGHOLI, 7.45AM 9.15AM 11.15AM 4.45PM 6.15PM 8.30PM
 HADAPSAR,RAMADARA (LONI KALBHOR), 5.15AM 7.05AM 8.55AM 11.15AM 2.00PM 3.50PM 6.10PM 8.05PM
 RAMADARA,HADAPSAR, 6.10AM 8.00AM 10.20AM 12.10PM 2.55PM 5.15PM 7.05PM 8.55PM
 HADAPSAR,WAGHOLI, 6.00AM 6.25AM 7.35AM 8.25AM 9.25AM 10.25AM 11.55AM 12.55PM 2.00PM 2.55PM 3.45PM 4.45PM 5.45PM 6.45PM 8.10PM 9.10PM
 WAGHOLI,HADAPSAR,6.45AM 7.30AM 8.25AM 9.20AM 10.55AM 11.55AM 12.55PM 1.50PM 2.55PM 3.50PM 4.45PM 5.45PM 7.15PM 8.15PM 9.15PM 10.15PM
 HADAPSAR,SATAV NAGAR JSPM College, 7.30AM 8.30AM 9.40AM 10.50AM 11.40AM 3.05PM 4.05PM 5.10PM 6.10PM
 SATAV NAGAR JSPM College,HADAPSAR, 8.00AM 9.05AM 10.10AM 11.10AM 12.00PM 3.35PM 4.35PM 5.40PM 6.40PM
 SHEWALEWADI,STATION, 5.35AM 6.00AM 6.45AM 7.05AM 7.25AM 7.50AM 8.15AM 8.40AM 9.05AM 9.30AM 9.55AM 10.50AM 11.15AM 11.40AM 12.05PM 12.55PM 1.20PM 1.45PM 2.10PM 2.35PM 3.00PM 3.25PM 3.50PM 4.15PM 4.40PM 5.05PM 5.30PM 6.00PM 6.50PM 7.20PM 8.20PM 9.15PM
 STATION,SHEWALEWADI,6.35AM 7.00AM 7.50AM 8.15AM 8.40AM 9.05AM 9.30AM 9.55AM 10.20AM 10.45AM 11.10AM 12.05PM 12.15PM 12.30PM 1.20PM 2.10PM 2.35PM 3.00PM 3.25PM 3.50PM 4.15PM 4.40PM 5.05PM 5.30PM 5.55PM 6.20PM 6.45PM 7.15PM 8.05PM 8.30PM 9.30PM 10.20PM
 HADAPSAR,KATRAJ, 6.00AM 6.30AM 7.00AM 7.15AM 7.30AM 7.40AM 7.50AM 8.00AM 8.10AM 8.20AM 8.30AM 8.45AM 9.00AM 9.15AM 9.25AM 9.35AM 10.00AM 10.20AM 10.40AM 10.50AM 11.05AM 11.20AM 11.35AM 11.45AM 11.55AM 12.05PM 12.35PM 12.55PM 1.15PM 1.35PM 1.50PM 2.05PM 2.20PM 2.35PM 2.50PM 3.10PM 3.25PM 3.40PM 3.55PM 4.10PM 4.25PM 4.45PM 5.00PM 5.15PM 5.30PM 5.40PM 5.50PM 6.10PM 6.25PM 6.40PM 6.55PM 7.15PM 7.40PM 8.00PM 8.30PM 8.50PM
 KATRAJ,HADAPSAR, 7.00AM 7.30AM 8.05AM 8.20AM 8.30AM 8.45AM 9.05AM 9.10AM 9.20AM 9.30AM 9.40AM 9.55AM 10.15AM 10.20AM 10.35AM 10.45AM 11.10AM 11.30AM 11.50AM 12.00PM 12.15PM 12.30PM 12.45PM 12.55PM 1.05PM 1.15PM 1.45PM 2.05PM 2.30PM 2.45PM 3.00PM 3.15PM 3.30PM 3.45PM 4.00PM 4.20PM 4.40PM 4.55PM 5.10PM 5.25PM 5.40PM 6.00PM 6.10PM 6.25PM 6.45PM 6.55PM 7.05PM 7.20PM 7.40PM 7.55PM 8.10PM 8.30PM 8.55PM 9.10PM 9.40PM 10.00PM
